🕘️更新时间,#genre#
2026-03-07 17:39:57,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
三沙卫视,http://116.9.34.226:4000/udp/239.81.0.242:4056
三沙卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.225:11464
天津卫视,http://58.32.16.142:4022/udp/233.18.204.97:5140
天津卫视,http://60.4.29.183:8077/rtp/239.253.92.91:8021
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960
天津卫视,http://joyznm.i234.me:20000/udp/239.3.1.141:1234
天津卫视,http://220.176.218.207:9000/udp/239.252.220.61:5140
西藏卫视,http://www.410725.xyz:8092/hls/49/index.m3u8
西藏卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.42:10246
西藏卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.42:10246
西藏卫视,http://171.83.103.119:9999/rtp/239.69.2.31:11340
西藏卫视,http://116.2.164.201:4010/rtp/232.0.0.114:1234
新疆卫视,http://220.176.218.207:9000/rtp/239.252.219.100:5140
新疆卫视,http://171.83.103.119:9999/rtp/239.69.2.30:11334
新疆卫视,http://116.2.164.201:4010/rtp/232.0.0.18:1234
新疆卫视,http://223.198.240.255:4000/rtp/239.253.64.146:5140
新疆卫视,http://218.74.248.175:8188/rtp/233.50.202.46:5140
云南卫视,http://www.410725.xyz:8092/hls/37/index.m3u8
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
云南卫视,http://14.118.74.55:10001/rtp/239.253.43.100:5146
云南卫视,http://14.118.74.55:10001/rtp/239.253.43.37:5146

☘️湖南频道,#genre#
湖南都市,http://111.8.242.102:9999/tsfile/live/1011_1.m3u8?
湖南电视剧,http://111.8.242.102:9999/tsfile/live/1013_1.m3u8?
湖南爱晚,http://111.8.242.102:9999/tsfile/live/1014_1.m3u8?
湖南娱乐,http://111.8.242.102:9999/tsfile/live/1016_1.m3u8?
湖南公共,http://119.39.9.8:9901/tsfile/live/1009_1.m3u8
湖南公共,http://124.228.160.14:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://phmanet.com:9999/udp/239.76.245.123:1234
金鹰纪实,http://58.32.16.142:4022/udp/233.18.204.104:5140
金鹰纪实,http://60.4.29.183:8077/rtp/239.253.92.103:6054
金鹰纪实,http://115.171.80.124:1688/rtp/225.1.8.31:8156
金鹰纪实,http://alist.guangyuan.site:8188/rtp/239.77.0.160:5146
金鹰纪实,http://121.29.215.252:2083/rtp/239.253.92.103:6054
